,n,L,total_attempts,total_successes,total_collisions,collision_rate,success_rate,throughput,per_node
0,20,1,6446,3471,2975,0.4615265280794291,0.5384734719205709,0.3471,"[{'tx': 258, 'success': 132, 'collisions': 126}, {'tx': 356, 'success': 202, 'collisions': 154}, {'tx': 316, 'success': 167, 'collisions': 149}, {'tx': 313, 'success': 157, 'collisions': 156}, {'tx': 429, 'success': 241, 'collisions': 188}, {'tx': 409, 'success': 226, 'collisions': 183}, {'tx': 411, 'success': 227, 'collisions': 184}, {'tx': 389, 'success': 211, 'collisions': 178}, {'tx': 321, 'success': 169, 'collisions': 152}, {'tx': 331, 'success': 183, 'collisions': 148}, {'tx': 189, 'success': 97, 'collisions': 92}, {'tx': 233, 'success': 128, 'collisions': 105}, {'tx': 318, 'success': 165, 'collisions': 153}, {'tx': 346, 'success': 178, 'collisions': 168}, {'tx': 308, 'success': 165, 'collisions': 143}, {'tx': 231, 'success': 123, 'collisions': 108}, {'tx': 161, 'success': 76, 'collisions': 85}, {'tx': 273, 'success': 150, 'collisions': 123}, {'tx': 517, 'success': 290, 'collisions': 227}, {'tx': 337, 'success': 184, 'collisions': 153}]"
1,20,2,4329,2329,2000,0.462000462000462,0.537999537999538,0.4658,"[{'tx': 156, 'success': 88, 'collisions': 68}, {'tx': 178, 'success': 94, 'collisions': 84}, {'tx': 244, 'success': 126, 'collisions': 118}, {'tx': 270, 'success': 145, 'collisions': 125}, {'tx': 153, 'success': 82, 'collisions': 71}, {'tx': 130, 'success': 63, 'collisions': 67}, {'tx': 296, 'success': 154, 'collisions': 142}, {'tx': 323, 'success': 175, 'collisions': 148}, {'tx': 215, 'success': 121, 'collisions': 94}, {'tx': 176, 'success': 97, 'collisions': 79}, {'tx': 60, 'success': 26, 'collisions': 34}, {'tx': 233, 'success': 127, 'collisions': 106}, {'tx': 71, 'success': 38, 'collisions': 33}, {'tx': 285, 'success': 164, 'collisions': 121}, {'tx': 385, 'success': 224, 'collisions': 161}, {'tx': 275, 'success': 138, 'collisions': 137}, {'tx': 114, 'success': 50, 'collisions': 64}, {'tx': 298, 'success': 163, 'collisions': 135}, {'tx': 249, 'success': 127, 'collisions': 122}, {'tx': 218, 'success': 127, 'collisions': 91}]"
2,20,3,3398,1747,1651,0.4858740435550324,0.5141259564449676,0.5241,"[{'tx': 246, 'success': 140, 'collisions': 106}, {'tx': 208, 'success': 106, 'collisions': 102}, {'tx': 79, 'success': 36, 'collisions': 43}, {'tx': 240, 'success': 127, 'collisions': 113}, {'tx': 198, 'success': 114, 'collisions': 84}, {'tx': 115, 'success': 53, 'collisions': 62}, {'tx': 225, 'success': 112, 'collisions': 113}, {'tx': 111, 'success': 54, 'collisions': 57}, {'tx': 38, 'success': 12, 'collisions': 26}, {'tx': 146, 'success': 75, 'collisions': 71}, {'tx': 156, 'success': 82, 'collisions': 74}, {'tx': 99, 'success': 42, 'collisions': 57}, {'tx': 242, 'success': 133, 'collisions': 109}, {'tx': 244, 'success': 129, 'collisions': 115}, {'tx': 107, 'success': 52, 'collisions': 55}, {'tx': 212, 'success': 102, 'collisions': 110}, {'tx': 207, 'success': 104, 'collisions': 103}, {'tx': 191, 'success': 100, 'collisions': 91}, {'tx': 235, 'success': 125, 'collisions': 110}, {'tx': 99, 'success': 49, 'collisions': 50}]"
3,20,4,2772,1426,1346,0.4855699855699856,0.5144300144300145,0.5704,"[{'tx': 214, 'success': 117, 'collisions': 97}, {'tx': 245, 'success': 143, 'collisions': 102}, {'tx': 214, 'success': 115, 'collisions': 99}, {'tx': 123, 'success': 61, 'collisions': 62}, {'tx': 70, 'success': 27, 'collisions': 43}, {'tx': 150, 'success': 86, 'collisions': 64}, {'tx': 177, 'success': 97, 'collisions': 80}, {'tx': 139, 'success': 67, 'collisions': 72}, {'tx': 137, 'success': 70, 'collisions': 67}, {'tx': 58, 'success': 26, 'collisions': 32}, {'tx': 126, 'success': 68, 'collisions': 58}, {'tx': 162, 'success': 82, 'collisions': 80}, {'tx': 184, 'success': 100, 'collisions': 84}, {'tx': 180, 'success': 91, 'collisions': 89}, {'tx': 180, 'success': 92, 'collisions': 88}, {'tx': 147, 'success': 76, 'collisions': 71}, {'tx': 66, 'success': 26, 'collisions': 40}, {'tx': 41, 'success': 13, 'collisions': 28}, {'tx': 52, 'success': 22, 'collisions': 30}, {'tx': 107, 'success': 47, 'collisions': 60}]"
4,20,5,2291,1154,1137,0.49628982976866,0.50371017023134,0.577,"[{'tx': 133, 'success': 65, 'collisions': 68}, {'tx': 143, 'success': 73, 'collisions': 70}, {'tx': 165, 'success': 89, 'collisions': 76}, {'tx': 82, 'success': 40, 'collisions': 42}, {'tx': 171, 'success': 94, 'collisions': 77}, {'tx': 11, 'success': 2, 'collisions': 9}, {'tx': 100, 'success': 52, 'collisions': 48}, {'tx': 166, 'success': 88, 'collisions': 78}, {'tx': 166, 'success': 83, 'collisions': 83}, {'tx': 114, 'success': 63, 'collisions': 51}, {'tx': 168, 'success': 91, 'collisions': 77}, {'tx': 174, 'success': 92, 'collisions': 82}, {'tx': 63, 'success': 32, 'collisions': 31}, {'tx': 93, 'success': 41, 'collisions': 52}, {'tx': 113, 'success': 53, 'collisions': 60}, {'tx': 41, 'success': 16, 'collisions': 25}, {'tx': 48, 'success': 18, 'collisions': 30}, {'tx': 91, 'success': 41, 'collisions': 50}, {'tx': 71, 'success': 35, 'collisions': 36}, {'tx': 178, 'success': 86, 'collisions': 92}]"
5,20,6,1941,994,947,0.487892838742916,0.512107161257084,0.5964,"[{'tx': 14, 'success': 2, 'collisions': 12}, {'tx': 128, 'success': 66, 'collisions': 62}, {'tx': 142, 'success': 74, 'collisions': 68}, {'tx': 15, 'success': 4, 'collisions': 11}, {'tx': 147, 'success': 76, 'collisions': 71}, {'tx': 30, 'success': 16, 'collisions': 14}, {'tx': 122, 'success': 74, 'collisions': 48}, {'tx': 21, 'success': 7, 'collisions': 14}, {'tx': 159, 'success': 91, 'collisions': 68}, {'tx': 80, 'success': 38, 'collisions': 42}, {'tx': 91, 'success': 44, 'collisions': 47}, {'tx': 112, 'success': 57, 'collisions': 55}, {'tx': 42, 'success': 12, 'collisions': 30}, {'tx': 167, 'success': 90, 'collisions': 77}, {'tx': 163, 'success': 85, 'collisions': 78}, {'tx': 66, 'success': 27, 'collisions': 39}, {'tx': 134, 'success': 75, 'collisions': 59}, {'tx': 174, 'success': 99, 'collisions': 75}, {'tx': 117, 'success': 53, 'collisions': 64}, {'tx': 17, 'success': 4, 'collisions': 13}]"
6,20,7,1734,878,856,0.4936562860438293,0.5063437139561707,0.6146,"[{'tx': 56, 'success': 23, 'collisions': 33}, {'tx': 118, 'success': 64, 'collisions': 54}, {'tx': 147, 'success': 78, 'collisions': 69}, {'tx': 107, 'success': 55, 'collisions': 52}, {'tx': 86, 'success': 48, 'collisions': 38}, {'tx': 106, 'success': 52, 'collisions': 54}, {'tx': 42, 'success': 17, 'collisions': 25}, {'tx': 94, 'success': 52, 'collisions': 42}, {'tx': 17, 'success': 4, 'collisions': 13}, {'tx': 123, 'success': 77, 'collisions': 46}, {'tx': 107, 'success': 57, 'collisions': 50}, {'tx': 83, 'success': 43, 'collisions': 40}, {'tx': 126, 'success': 67, 'collisions': 59}, {'tx': 30, 'success': 8, 'collisions': 22}, {'tx': 96, 'success': 48, 'collisions': 48}, {'tx': 44, 'success': 16, 'collisions': 28}, {'tx': 91, 'success': 43, 'collisions': 48}, {'tx': 68, 'success': 31, 'collisions': 37}, {'tx': 71, 'success': 31, 'collisions': 40}, {'tx': 122, 'success': 64, 'collisions': 58}]"
7,20,8,1533,790,743,0.4846705805609915,0.5153294194390085,0.632,"[{'tx': 85, 'success': 41, 'collisions': 44}, {'tx': 110, 'success': 62, 'collisions': 48}, {'tx': 24, 'success': 5, 'collisions': 19}, {'tx': 82, 'success': 41, 'collisions': 41}, {'tx': 8, 'success': 1, 'collisions': 7}, {'tx': 86, 'success': 43, 'collisions': 43}, {'tx': 77, 'success': 41, 'collisions': 36}, {'tx': 117, 'success': 62, 'collisions': 55}, {'tx': 137, 'success': 89, 'collisions': 48}, {'tx': 67, 'success': 36, 'collisions': 31}, {'tx': 56, 'success': 27, 'collisions': 29}, {'tx': 93, 'success': 46, 'collisions': 47}, {'tx': 68, 'success': 39, 'collisions': 29}, {'tx': 54, 'success': 28, 'collisions': 26}, {'tx': 74, 'success': 40, 'collisions': 34}, {'tx': 68, 'success': 27, 'collisions': 41}, {'tx': 137, 'success': 75, 'collisions': 62}, {'tx': 77, 'success': 39, 'collisions': 38}, {'tx': 69, 'success': 32, 'collisions': 37}, {'tx': 44, 'success': 16, 'collisions': 28}]"
8,20,9,1413,698,715,0.5060155697098372,0.49398443029016276,0.6282,"[{'tx': 59, 'success': 28, 'collisions': 31}, {'tx': 95, 'success': 50, 'collisions': 45}, {'tx': 40, 'success': 22, 'collisions': 18}, {'tx': 48, 'success': 19, 'collisions': 29}, {'tx': 38, 'success': 15, 'collisions': 23}, {'tx': 111, 'success': 62, 'collisions': 49}, {'tx': 70, 'success': 38, 'collisions': 32}, {'tx': 27, 'success': 10, 'collisions': 17}, {'tx': 56, 'success': 32, 'collisions': 24}, {'tx': 62, 'success': 30, 'collisions': 32}, {'tx': 75, 'success': 37, 'collisions': 38}, {'tx': 43, 'success': 17, 'collisions': 26}, {'tx': 39, 'success': 15, 'collisions': 24}, {'tx': 66, 'success': 32, 'collisions': 34}, {'tx': 103, 'success': 50, 'collisions': 53}, {'tx': 111, 'success': 55, 'collisions': 56}, {'tx': 111, 'success': 59, 'collisions': 52}, {'tx': 77, 'success': 40, 'collisions': 37}, {'tx': 100, 'success': 50, 'collisions': 50}, {'tx': 82, 'success': 37, 'collisions': 45}]"
9,20,10,1270,637,633,0.4984251968503937,0.5015748031496063,0.637,"[{'tx': 26, 'success': 7, 'collisions': 19}, {'tx': 21, 'success': 7, 'collisions': 14}, {'tx': 95, 'success': 52, 'collisions': 43}, {'tx': 102, 'success': 54, 'collisions': 48}, {'tx': 87, 'success': 50, 'collisions': 37}, {'tx': 20, 'success': 4, 'collisions': 16}, {'tx': 98, 'success': 59, 'collisions': 39}, {'tx': 102, 'success': 53, 'collisions': 49}, {'tx': 55, 'success': 25, 'collisions': 30}, {'tx': 36, 'success': 11, 'collisions': 25}, {'tx': 83, 'success': 48, 'collisions': 35}, {'tx': 21, 'success': 7, 'collisions': 14}, {'tx': 57, 'success': 24, 'collisions': 33}, {'tx': 61, 'success': 29, 'collisions': 32}, {'tx': 59, 'success': 28, 'collisions': 31}, {'tx': 111, 'success': 60, 'collisions': 51}, {'tx': 93, 'success': 46, 'collisions': 47}, {'tx': 74, 'success': 42, 'collisions': 32}, {'tx': 14, 'success': 2, 'collisions': 12}, {'tx': 55, 'success': 29, 'collisions': 26}]"
