,n,L,total_attempts,total_successes,total_collisions,collision_rate,success_rate,throughput,per_node
0,1,1,1187,1187,0,0.0,1.0,0.1187,"[{'tx': 1187, 'success': 1187, 'collisions': 0}]"
1,1,2,1036,1036,0,0.0,1.0,0.2072,"[{'tx': 1036, 'success': 1036, 'collisions': 0}]"
2,1,3,936,936,0,0.0,1.0,0.2808,"[{'tx': 936, 'success': 936, 'collisions': 0}]"
3,1,4,868,868,0,0.0,1.0,0.3472,"[{'tx': 868, 'success': 868, 'collisions': 0}]"
4,1,5,794,794,0,0.0,1.0,0.397,"[{'tx': 794, 'success': 794, 'collisions': 0}]"
5,1,6,754,754,0,0.0,1.0,0.4524,"[{'tx': 754, 'success': 754, 'collisions': 0}]"
6,1,7,690,690,0,0.0,1.0,0.483,"[{'tx': 690, 'success': 690, 'collisions': 0}]"
7,1,8,651,651,0,0.0,1.0,0.5208,"[{'tx': 651, 'success': 651, 'collisions': 0}]"
8,1,9,595,595,0,0.0,1.0,0.5355,"[{'tx': 595, 'success': 595, 'collisions': 0}]"
9,1,10,571,571,0,0.0,1.0,0.571,"[{'tx': 571, 'success': 571, 'collisions': 0}]"
10,1,11,540,540,0,0.0,1.0,0.594,"[{'tx': 540, 'success': 540, 'collisions': 0}]"
11,1,12,509,509,0,0.0,1.0,0.6108,"[{'tx': 509, 'success': 509, 'collisions': 0}]"
12,1,13,484,484,0,0.0,1.0,0.6292,"[{'tx': 484, 'success': 484, 'collisions': 0}]"
13,1,14,463,463,0,0.0,1.0,0.6482,"[{'tx': 463, 'success': 463, 'collisions': 0}]"
14,1,15,451,451,0,0.0,1.0,0.6765,"[{'tx': 451, 'success': 451, 'collisions': 0}]"
15,1,16,430,430,0,0.0,1.0,0.688,"[{'tx': 430, 'success': 430, 'collisions': 0}]"
16,1,17,413,413,0,0.0,1.0,0.7021,"[{'tx': 413, 'success': 413, 'collisions': 0}]"
17,1,18,397,397,0,0.0,1.0,0.7146,"[{'tx': 397, 'success': 397, 'collisions': 0}]"
18,1,19,379,379,0,0.0,1.0,0.7201,"[{'tx': 379, 'success': 379, 'collisions': 0}]"
19,1,20,367,367,0,0.0,1.0,0.734,"[{'tx': 367, 'success': 367, 'collisions': 0}]"
20,1,21,350,350,0,0.0,1.0,0.735,"[{'tx': 350, 'success': 350, 'collisions': 0}]"
21,1,22,344,344,0,0.0,1.0,0.7568,"[{'tx': 344, 'success': 344, 'collisions': 0}]"
22,1,23,325,325,0,0.0,1.0,0.7475,"[{'tx': 325, 'success': 325, 'collisions': 0}]"
23,1,24,314,314,0,0.0,1.0,0.7536,"[{'tx': 314, 'success': 314, 'collisions': 0}]"
24,1,25,313,313,0,0.0,1.0,0.7825,"[{'tx': 313, 'success': 313, 'collisions': 0}]"
25,1,26,300,300,0,0.0,1.0,0.78,"[{'tx': 300, 'success': 300, 'collisions': 0}]"
26,1,27,293,293,0,0.0,1.0,0.7911,"[{'tx': 293, 'success': 293, 'collisions': 0}]"
27,1,28,283,283,0,0.0,1.0,0.7924,"[{'tx': 283, 'success': 283, 'collisions': 0}]"
28,1,29,275,275,0,0.0,1.0,0.7975,"[{'tx': 275, 'success': 275, 'collisions': 0}]"
29,1,30,266,266,0,0.0,1.0,0.798,"[{'tx': 266, 'success': 266, 'collisions': 0}]"
30,1,31,256,256,0,0.0,1.0,0.7936,"[{'tx': 256, 'success': 256, 'collisions': 0}]"
